2026-01-16 15:27:20 [udp_iframe] frame_id=0 enc_bytes=60422 data_pkts=51 parity_pkts=14 total_pkts=65 fec.table=1 groups=2 r=7
2026-01-16 15:27:29 [udp_iframe] frame_id=256 enc_bytes=49673 data_pkts=42 parity_pkts=12 total_pkts=54 fec.table=1 groups=2 r=6
2026-01-16 15:27:37 [udp_iframe] frame_id=512 enc_bytes=51170 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:27:46 [udp_iframe] frame_id=768 enc_bytes=50805 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:27:54 [udp_iframe] frame_id=1024 enc_bytes=50641 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:03 [udp_iframe] frame_id=1280 enc_bytes=50515 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:11 [udp_iframe] frame_id=1536 enc_bytes=50705 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:20 [udp_iframe] frame_id=1792 enc_bytes=50825 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:28 [udp_iframe] frame_id=2048 enc_bytes=50591 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:37 [udp_iframe] frame_id=2304 enc_bytes=50822 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:45 [udp_iframe] frame_id=2560 enc_bytes=51104 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:28:54 [udp_iframe] frame_id=2816 enc_bytes=50811 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:02 [udp_iframe] frame_id=3072 enc_bytes=50603 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:11 [udp_iframe] frame_id=3328 enc_bytes=51181 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:19 [udp_iframe] frame_id=3584 enc_bytes=50932 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:28 [udp_iframe] frame_id=3840 enc_bytes=50521 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:37 [udp_iframe] frame_id=4096 enc_bytes=50846 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:45 [udp_iframe] frame_id=4352 enc_bytes=50579 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:29:54 [udp_iframe] frame_id=4608 enc_bytes=50059 data_pkts=42 parity_pkts=12 total_pkts=54 fec.table=1 groups=2 r=6
2026-01-16 15:30:02 [udp_iframe] frame_id=4864 enc_bytes=50113 data_pkts=42 parity_pkts=12 total_pkts=54 fec.table=1 groups=2 r=6
2026-01-16 15:30:11 [udp_iframe] frame_id=5120 enc_bytes=50834 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:30:19 [udp_iframe] frame_id=5376 enc_bytes=51593 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:30:28 [udp_iframe] frame_id=5632 enc_bytes=50763 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:30:36 [udp_iframe] frame_id=5888 enc_bytes=50209 data_pkts=42 parity_pkts=12 total_pkts=54 fec.table=1 groups=2 r=6
2026-01-16 15:30:45 [udp_iframe] frame_id=6144 enc_bytes=51005 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:30:53 [udp_iframe] frame_id=6400 enc_bytes=50895 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:31:02 [udp_iframe] frame_id=6656 enc_bytes=50924 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:31:10 [udp_iframe] frame_id=6912 enc_bytes=51335 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
2026-01-16 15:31:19 [udp_iframe] frame_id=7168 enc_bytes=51793 data_pkts=44 parity_pkts=12 total_pkts=56 fec.table=1 groups=2 r=6
2026-01-16 15:31:27 [udp_iframe] frame_id=7424 enc_bytes=51826 data_pkts=44 parity_pkts=12 total_pkts=56 fec.table=1 groups=2 r=6
2026-01-16 15:31:36 [udp_iframe] frame_id=7680 enc_bytes=50436 data_pkts=43 parity_pkts=12 total_pkts=55 fec.table=1 groups=2 r=6
